permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,status_code
/organization/artielle-immunotherapeutics,Artielle ImmunoTherapeutics,http://www.artielle.com,|Biotechnology|,Biotechnology,185740.0,operating,USA,CA,SF Bay Area,San Mateo,2.0,,,,,2004-06-23,2010-04-13,0.0,0.0,0.0,0.0,185740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/ninthdecimal,NinthDecimal,http://www.ninthdecimal.com/,|Location Based Services|Mobile|Mobile Advertising|Mobile Analytics|Mobile Video|Brand Marketing|Ad Targeting|Direct Marketing|,Direct Marketing,49256256.0,operating,USA,CA,SF Bay Area,San Francisco,6.0,2003-03-20,2003-03,2003-Q1,2003.0,2006-05-17,2014-10-15,0.0,47156256.0,0.0,0.0,0.0,2100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,11100000.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/it-moves-it,IT MOVES IT,http://www.leadinius.com,|Fleet Management|Open Source|SaaS|Enterprise Software|,Open Source,687000.0,operating,USA,CA,San Diego,San Diego,3.0,2011-01-01,2011-01,2011-Q1,2011.0,2011-07-28,2013-05-31,687000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/weblayers,WebLayers,http://www.weblayers.com,|Software|,Software,10000000.0,operating,USA,MA,Boston,Cambridge,2.0,2002-01-01,2002-01,2002-Q1,2002.0,2007-07-16,2009-01-14,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,1
/organization/black-tie-ventures,Black Tie Ventures,http://www.blacktieventures.com/,|Entertainment|Games|Software|,Entertainment,360000.0,operating,CAN,QC,Quebec City,Quebec,1.0,2013-07-13,2013-07,2013-Q3,2013.0,2014-04-21,2014-04-21,0.0,0.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/timetrade-systems,TimeTrade Systems,http://www.timetrade.com,|Events|Meeting Software|Services|SaaS|Software|Online Scheduling|Enterprise Software|,Enterprise Software,12322500.0,operating,USA,MA,Boston,Tewksbury,4.0,2000-01-01,2000-01,2000-Q1,2000.0,2006-05-01,2010-09-24,0.0,10600000.0,0.0,0.0,0.0,1722500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600000.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,1
/organization/flowity,Flowity,http://www.flowity.com,|Messaging|Outsourcing|Enterprise Software|,Outsourcing,64000.0,operating,USA,CA,SF Bay Area,San Mateo,1.0,,,,,2013-09-01,2013-09-01,64000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/european-batteries,European Batteries,http://www.europeanbatteries.com,|Manufacturing|,Manufacturing,18503220.0,operating,FIN,,Helsinki,Espoo,1.0,,,,,2011-01-19,2011-01-19,0.0,18503220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/hot,Hot Hotels,http://hot.es/,|Travel|Tourism|Sustainability|Apps|Hotels|Mobile|,Mobile,1000000.0,operating,ESP,,Malaga,M�laga,1.0,2011-12-01,2011-12,2011-Q4,2011.0,2014-04-01,2014-04-01,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/bitgo,BitGo,http://www.bitgo.com,|Bitcoin|Financial Services|Security|,Bitcoin,12000000.0,operating,USA,CA,SF Bay Area,San Francisco,2.0,2013-01-01,2013-01,2013-Q1,2013.0,2014-06-16,2014-09-04,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
