funding_total_usd,funding_rounds,seed,venture,angel,grant,private_equity,debt_financing,equity_crowdfunding,convertible_note,undisclosed,product_crowdfunding,post_ipo_equity,post_ipo_debt,secondary_market,round_A,round_B,round_C,founded_year,founded_month,founded_quarter,geo_cluster,log_funding_total_usd,log_seed,log_venture,log_angel,log_grant,log_private_equity,log_debt_financing,log_equity_crowdfunding,log_convertible_note,log_undisclosed,log_product_crowdfunding,log_post_ipo_equity,log_post_ipo_debt,log_secondary_market,has_round_A,has_round_B,has_round_C,round_D_plus,days_to_first_funding,market_enc_acquired,market_enc_closed,country_code_enc_acquired,country_code_enc_closed,status_code
59139710.0,7.0,0.0,59139710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800000.0,0.0,13000000.0,2004.0,3.0,1.0,USA-NY,17.895413185667163,0.0,17.895413185667163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,30000000.0,841.0,0.10641891891891891,0.06925675675675676,0.10379324718632764,0.05210504376823676,2
605000.0,2.0,500000.0,0.0,105000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,1.0,1.0,Unknown,13.312985389904174,13.122365377402328,0.0,11.561725152903833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,576.0,0.02527075812274368,0.021660649819494584,0.042270058708414875,0.07632093933463796,1
37400000.0,3.0,0.0,37400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9400000.0,17000000.0,11000000.0,2007.0,1.0,1.0,USA-Other,17.437181289122726,0.0,17.437181289122726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1352.0,0.048535564853556486,0.04225941422594142,0.10379324718632764,0.05210504376823676,1
100000.0,1.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,6.0,2.0,ESP,11.51293546492023,11.51293546492023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,75.0,0.05595854922279793,0.061139896373056994,0.048701298701298704,0.07142857142857142,1
4245714.0,1.0,0.0,4245714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1.0,1.0,USA-NY,15.261420796995383,0.0,15.261420796995383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,578.0,0.1111111111111111,0.047619047619047616,0.10379324718632764,0.05210504376823676,2
1190000.0,1.0,0.0,1190000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1.0,1.0,Unknown,13.989464705423494,0.0,13.989464705423494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,578.0,0.12286324786324786,0.13782051282051283,0.042270058708414875,0.07632093933463796,0
3000000.0,3.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,2011.0,4.0,2.0,BRA,14.914123179965662,0.0,14.914123179965662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.13821138211382114,0.07967479674796749,0.01652892561983471,0.06611570247933884,1
40269499.0,4.0,0.0,30000000.0,0.0,0.0,0.0,10269499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.0,1.0,1.0,USA-Other,17.51110491655984,0.0,17.216707972959764,0.0,0.0,0.0,16.14468889522784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30000000.0,5144.0,0.06546854942233633,0.04236200256739409,0.10379324718632764,0.05210504376823676,1
5750000.0,2.0,750000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,2009.0,10.0,4.0,USA-SiliconValley,15.564710586686562,13.527829818844937,15.424948670398354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,151.0,0.12286324786324786,0.13782051282051283,0.10379324718632764,0.05210504376823676,0
750000.0,3.0,200000.0,500000.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,2012.0,2.0,1.0,RUS,13.527829818844937,12.206077645517674,13.122365377402328,0.0,10.819798284210286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,-23.0,0.125,0.0673076923076923,0.007407407407407408,0.1111111111111111,0
