funding_total_usd,funding_rounds,seed,venture,angel,grant,private_equity,debt_financing,equity_crowdfunding,convertible_note,undisclosed,product_crowdfunding,post_ipo_equity,post_ipo_debt,secondary_market,round_A,round_B,round_C,founded_year,founded_month,founded_quarter,log_funding_total_usd,log_seed,log_venture,log_angel,log_grant,log_private_equity,log_debt_financing,log_equity_crowdfunding,log_convertible_note,log_undisclosed,log_product_crowdfunding,log_post_ipo_equity,log_post_ipo_debt,log_secondary_market,log_round_A,log_round_B,log_round_C,has_round_A,has_round_B,has_round_C,round_D_plus,log_round_D_plus,had_angel,never_funded,days_to_first_funding,market_enc_acquired,market_enc_closed,country_code_enc_acquired,country_code_enc_closed,status_code
40000.0,1.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,1.0,1.0,10.59665973278358,10.59665973278358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,323.0,0.0259571706683971,0.0240103828682673,0.0422700587084148,0.0763209393346379,0
59139710.0,7.0,0.0,59139710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800000.0,0.0,13000000.0,2004.0,3.0,1.0,17.895413185667163,0.0,17.895413185667163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.732433317205148,0.0,16.380459992348886,1,0,1,30000000.0,17.216707972959764,0,0,841.0,0.1064189189189189,0.0692567567567567,0.1037932471863276,0.0521050437682367,0
605000.0,2.0,500000.0,0.0,105000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,1.0,1.0,13.312985389904174,13.122365377402328,0.0,11.561725152903833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,576.0,0.0252707581227436,0.0216606498194945,0.0422700587084148,0.0763209393346379,0
37400000.0,3.0,0.0,37400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9400000.0,17000000.0,11000000.0,2007.0,1.0,1.0,17.437181289122726,0.0,17.437181289122726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.056220353623207,16.648723960844016,16.213405921671733,1,1,1,0.0,0.0,0,0,1352.0,0.0485355648535564,0.0422594142259414,0.1037932471863276,0.0521050437682367,0
100000.0,1.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,6.0,2.0,11.51293546492023,11.51293546492023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,75.0,0.0559585492227979,0.0611398963730569,0.0487012987012987,0.0714285714285714,0
4245714.0,1.0,0.0,4245714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1.0,1.0,15.261420796995385,0.0,15.261420796995385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,578.0,0.1111111111111111,0.0476190476190476,0.1037932471863276,0.0521050437682367,0
1190000.0,1.0,0.0,1190000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1.0,1.0,13.989464705423494,0.0,13.989464705423494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,578.0,0.1228632478632478,0.1378205128205128,0.0422700587084148,0.0763209393346379,1
3000000.0,3.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,2011.0,4.0,2.0,14.914123179965662,0.0,14.914123179965662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.914123179965662,0.0,0.0,1,0,0,0.0,0.0,0,0,0.0,0.1382113821138211,0.0796747967479674,0.0165289256198347,0.0661157024793388,0
40269499.0,4.0,0.0,30000000.0,0.0,0.0,0.0,10269499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.0,1.0,1.0,17.51110491655984,0.0,17.216707972959764,0.0,0.0,0.0,16.14468889522784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30000000.0,17.216707972959764,0,0,5144.0,0.0654685494223363,0.042362002567394,0.1037932471863276,0.0521050437682367,0
5750000.0,2.0,750000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,2009.0,10.0,4.0,15.564710586686562,13.527829818844936,15.424948670398354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.424948670398354,0.0,0.0,1,0,0,0.0,0.0,0,0,151.0,0.1228632478632478,0.1378205128205128,0.1037932471863276,0.0521050437682367,1
