funding_total_usd,funding_rounds,seed,venture,angel,grant,private_equity,debt_financing,equity_crowdfunding,convertible_note,undisclosed,product_crowdfunding,post_ipo_equity,post_ipo_debt,secondary_market,round_A,round_B,round_C,founded_year,founded_month,founded_quarter,log_funding_total_usd,log_seed,log_venture,log_angel,log_grant,log_private_equity,log_debt_financing,log_equity_crowdfunding,log_convertible_note,log_undisclosed,log_product_crowdfunding,log_post_ipo_equity,log_post_ipo_debt,log_secondary_market,has_round_A,has_round_B,has_round_C,round_D_plus,days_to_first_funding,market_category_enc_acquired,market_category_enc_closed,geo_cluster_enc_acquired,geo_cluster_enc_closed,country_code_enc_acquired,country_code_enc_closed,status_code
260000.0,1.0,260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,1.0,1.0,12.468440756144114,12.468440756144114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1104.0,0.1174025974025974,0.0514285714285714,0.0504201680672268,0.0504201680672268,0.0504201680672268,0.0504201680672268,0
30000.0,1.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,12.0,4.0,10.308985993422082,10.308985993422082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,318.0,0.0967741935483871,0.0628183361629881,0.0800468566966028,0.0504685669660288,0.1037932471863276,0.0521050437682367,0
1449998.0,4.0,25000.0,624998.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,1.0,1.0,14.187073424741348,10.12667110305036,13.34550532871726,13.592368256649284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,121.0,0.1164205039096437,0.1059947871416159,0.0987324883255503,0.0527018012008005,0.1037932471863276,0.0521050437682367,0
5000000.0,1.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,2011.0,1.0,1.0,15.424948670398354,0.0,15.424948670398354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,365.0,0.1164205039096437,0.1059947871416159,0.0800468566966028,0.0504685669660288,0.1037932471863276,0.0521050437682367,0
120000.0,1.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,8.0,3.0,11.695255355062796,11.695255355062796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-577.0,0.0697242841993637,0.0461293743372216,0.0422700587084148,0.0763209393346379,0.0422700587084148,0.0763209393346379,0
238660.0,2.0,158488.0,0.0,80172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2.0,1.0,12.382799413976043,11.973440469260222,0.0,11.291942078818346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-31.0,0.0830564784053156,0.0996677740863787,0.0817757009345794,0.0537383177570093,0.0817757009345794,0.0537383177570093,0
10000.0,1.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,7.0,3.0,9.210440366976515,0.0,0.0,9.210440366976515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,31.0,0.06,0.03,0.0422700587084148,0.0763209393346379,0.0422700587084148,0.0763209393346379,0
935000.0,1.0,0.0,935000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,1.0,1.0,13.74830287778897,0.0,13.74830287778897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,861.0,0.1174025974025974,0.0514285714285714,0.1695819745034094,0.0551437889119478,0.1037932471863276,0.0521050437682367,0
830000.0,1.0,0.0,830000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1.0,1.0,13.629182184591333,0.0,13.629182184591333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,578.0,0.0616509926854754,0.0397074190177638,0.092378752886836,0.0646651270207852,0.092378752886836,0.0646651270207852,0
100000.0,1.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,3.0,1.0,11.51293546492023,11.51293546492023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0616509926854754,0.0397074190177638,0.0800468566966028,0.0504685669660288,0.1037932471863276,0.0521050437682367,0
